name,acres,lon,lat,reporter,cause
UPLAND ISLAND,3936.0,-94.35833333,31.105,National Forests And Grasslands In Texas,Arson/incendiarism
DISAPPOINTMENT,3840.0,-108.5725,37.81388889,San Juan National Forest,Natural
ROUND TOP,3840.0,-112.7841,40.0999,Salt Lake Field Office,Equipment and vehicle use
FRISCOPEAK,3835.0,-113.1091,38.6675,Richfield Field Office,Natural
EIGHTMILE,3788.6,-112.213,39.2197,Richfield Field Office,Natural
MURPHY RIDGE,3776.0,-105.41,42.185,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
NBROKENBAC,3741.0,-107.384,44.1666,Worland Field Office,Natural
BEAR CREEK,3718.0,-105.46666667,42.19833333,"Medicine Bow-Routt National Forests, Thunder Basin National Grassland",Natural
2 FORKS,3680.0,-117.0676,41.4832,Winnemucca District Office,Natural
SUNRISE,3656.0,-119.466,39.1782,Carson City District Office,Fireworks
ELBOW BASIN,3650.0,-120.83333333,48.93,Okanogan-Wenatchee National Forest,Natural
JEFFERSON 0482,3648.0,-121.68833333,44.60055556,Deschutes National Forest,Smoking
SHEEP#1,3642.0,-116.9109,40.8652,Elko District Office,Natural
BOULDER SUMMIT,3600.0,-112.22339,39.96992,Utah Division Forestry Fire State Lands,Missing data/not specified/undetermined
ALDERRIDGE,3570.0,-121.14388889,42.96833333,Fremont-Winema National Forest,Natural
COYOTE,3500.0,-110.84833333,46.87333333,Helena - Lewis and Clark National Forest,Equipment and vehicle use
FT. KEOGH,3500.0,-105.8317,46.2739,Miles City Field Office,Natural
ROBINSON,3500.0,-105.3005,46.0333,Miles City Field Office,Natural
HONEY                    ,3500.0,-116.745,32.70888888,San Diego Unit,Missing data/not specified/undetermined
GILBRETH,3500.0,-119.5843,35.6833,Central California District,Arson/incendiarism
BIG ARROYO,3500.0,-118.45759,36.44827,Sequoia & Kings Canyon National Parks,Natural
SILVER STA,3484.0,-117.976,41.1405,Winnemucca District Office,Natural
SOUTH DUGW,3400.0,-112.7341,39.9999,Salt Lake Field Office,Natural
STOCKWELL,3400.0,-107.06027778,44.54944444,Bighorn National Forest,Natural
ALLENTOWN5,3392.5,-109.1456,35.2384,Navajo Region Fire and Aviation Management,Natural
BLOCK B,3343.0,-80.716082,25.406889,Everglades National Park,Missing data/not specified/undetermined
CANYON,3328.0,-118.78,35.45333333,Sequoia National Forest,Missing data/not specified/undetermined
NWENDELL,3310.0,-114.7142,42.8327,Twin  Falls District,Missing data/not specified/undetermined
603749,3250.0,-154.1523,57.5493,Alaska Fire Service,Recreation and ceremony
SPRING CREEK,3200.0,-104.91802,45.85182,Eastern Land Office,Equipment and vehicle use
MAJOR 1,3149.0,-81.66666667,29.24166667,National Forests in Florida,Debris and open burning
MABEY,3124.0,-111.8158,42.7699,Idaho Falls District,Natural
COTTONWOOD,3123.0,-116.3176,45.8832,Coeur d'Alene Field Office,Natural
SPRINGER,3119.0,-97.1336,34.0668,Chickasaw Agency,Arson/incendiarism
BASE,3100.0,-115.8534,43.1082,Boise District,Natural
HWY 41,3100.0,-120.9177,35.9166,Central California District,Arson/incendiarism
HEPP,3068.0,-106.2839,44.5666,Casper Field Office,Natural
CARD SOUND,3040.0,-80.48217,25.38506,Everglades National Park,Missing data/not specified/undetermined
DALTON 3,3032.0,-121.07333333,41.73861111,Modoc National Forest,Natural
JEAN,3000.0,-105.8647232,34.96111297,New Mexico State Forestry Division,Missing data/not specified/undetermined
TANK,3000.0,-111.66833333,40.30666667,Uinta-Wasatch-Cache National Forest,Misuse of fire by a minor
BURGETTE,3000.0,-105.0577774,34.44111251,New Mexico State Forestry Division,Missing data/not specified/undetermined
WANNACUTT,3000.0,-119.4678,48.3832,Colville Agency,Missing data/not specified/undetermined
KNIGHT,3000.0,-94.74576,30.60021,Big Thicket National Park,Debris and open burning
SEAL,3000.0,-117.8407,39.3369,Carson City District Office,Missing data/not specified/undetermined
BOGUS LAKE,2989.0,-117.5571,43.0429,Vale District,Natural
INDIAN CK,2960.0,-116.6065,44.1354,Boise District,Natural
TOLLUCA,2948.0,-108.6688,45.7802,Crow Agency,Smoking
ROUND MTN,2880.0,-118.9009,35.5,Central California District,Smoking
CHALOLO #1,2850.0,-118.67,36.04333333,Sequoia National Forest,Arson/incendiarism
WASIOJA,2830.0,-119.81166667,34.92305556,Los Padres National Forest,Equipment and vehicle use
TWINBUTTE,2806.0,-115.14915,42.72639,Boise District,Natural
MP50/HWY51,2805.0,-115.90883,42.61471,Boise District,Equipment and vehicle use
STATELINE,2796.0,-114.1341,38.0333,Ely District Office,Arson/incendiarism
LIME,2790.0,-112.57519,40.67002,Salt Lake Field Office,Natural
ASPEN HOLLOW,2780.0,-110.80861111,43.11805556,Bridger-Teton National Forest,Natural
STUMPFIELD,2770.0,-119.84333333,37.42833333,Sierra National Forest,Power generation/transmission/distribution
BEAR,2700.0,-120.5677,38.0999,Central California District,Natural
COTTONWOOD,2700.0,-116.2093,43.8513,Boise District,Natural
7 MILE,2690.0,-119.8843,35.3333,Central California District,Equipment and vehicle use
HDSCRABBLE,2673.6,-109.2923,34.9417,Navajo Region Fire and Aviation Management,Natural
S. TINTIC,2650.2,-112.168,39.7641,Richfield Field Office,Natural
BOREL,2650.0,-118.55666667,35.57833333,Sequoia National Forest,Missing data/not specified/undetermined
TITNA RIVE,2650.0,-153.1613,64.3261,Alaska Fire Service,Natural
CEPTER,2616.0,-113.8842,42.8666,Twin  Falls District,Natural
LONGRIDGE,2615.5,-111.9749,39.8244,Richfield Field Office,Natural
WLK SE 40,2600.0,-158.8694,66.1966,Alaska Fire Service,Natural
AQUADUCT,2600.0,-112.5008,40.1333,Salt Lake Field Office,Natural
LAKEMURRAY,2584.0,-97.117,34.0501,Chickasaw Agency,Arson/incendiarism
FALCONBERRY,2580.0,-114.79,44.72333333,Salmon-Challis National Forest,Natural
PROSPECT,2552.0,-116.3649,43.836,Boise District,Natural
ROCK,2523.0,-122.98666667,40.185,Shasta-Trinity National Forest,Natural
LOVERIDGE,2522.0,-115.6904,42.8457,Boise District,Natural
SUGARITE,2500.0,-104.39055633,36.95277786,New Mexico State Forestry Division,Missing data/not specified/undetermined
ELK SPRING,2500.0,-105.6061,33.0695,Mescalero Agency,Missing data/not specified/undetermined
STODDARD,2500.0,-114.71166667,45.25,Salmon-Challis National Forest,Natural
SPRING,2470.0,-117.7479,40.298,Winnemucca District Office,Natural
HORSE,2465.0,-121.31111111,41.90194444,Modoc National Forest,Power generation/transmission/distribution
LITTLE CABIN 0745,2438.0,-121.34805556,44.53694444,Ochoco National Forest,Power generation/transmission/distribution
BUCKHORN#2,2400.0,-116.492,40.1791,Elko District Office,Natural
AMAX,2400.0,-117.976,41.0971,Winnemucca District Office,Natural
OTA,2385.0,-116.0187,43.1346,Boise District,Fireworks
MARCIAL,2362.0,-106.96305847,33.71472167,New Mexico State Forestry Division,Missing data/not specified/undetermined
RIMROCK,2300.0,-120.401,38.2832,Central California District,Natural
BRKWGN,2297.0,-115.7015,42.6335,Boise District,Natural
GIN BASIN,2280.0,-117.4313,43.2952,Vale District,Natural
GRAVEL PIT,2266.0,-103.38333333,43.03333333,Nebraska National Forest,Natural
ANDREWS SA,2255.4,-118.6177,42.4732,Burns District,Power generation/transmission/distribution
LIVESTOCK,2240.0,-103.29027557,32.90694427,New Mexico State Forestry Division,Missing data/not specified/undetermined
HARD LUCK,2230.0,-141.0924,65.1236,Alaska Fire Service,Natural
WELL #2,2224.0,-112.7361,43.2263,Idaho Falls District,Equipment and vehicle use
OVERLOOK,2220.0,-119.901,35.2166,Central California District,Debris and open burning
PG&E #8                  ,2207.0,-122.36194444,38.35194444,Sonoma-Lake Napa Unit,Equipment and vehicle use
L.D.FALLS,2201.0,-108.9124,40.6317,Dinosaur National Monument,Natural
ZENOBIA2,2149.0,-108.90502,40.6318,Dinosaur National Monument,Natural
BROWN BUTT,2122.0,-117.101,43.7332,Vale District,Natural
PINEYCREEK,2117.0,-114.2342,41.9666,Elko District Office,Missing data/not specified/undetermined
ELEPHANT,2115.0,-120.3678,46.5165,Spokane District,Debris and open burning
ANTELOPE CREEK,2100.0,-111.89666667,45.735,Beaverhead-Deerlodge National Forest,Equipment and vehicle use
SAGE FLAT,2091.0,-118.045,36.22166667,Inyo National Forest,Equipment and vehicle use
REDROCK,2050.0,-120.2345,44.7499,Prineville District,Natural
BLACK MTN,2012.0,-112.3174,39.7166,Richfield Field Office,Natural
APPALOOSA,2000.0,-119.3845,46.2499,Spokane District,Equipment and vehicle use
REST AREA,2000.0,-105.28138732,35.03388977,New Mexico State Forestry Division,Missing data/not specified/undetermined
OBSERVATIO,2000.0,-146.2857,64.0329,Alaska Fire Service,Arson/incendiarism
PANOCHE,2000.0,-120.6843,36.6333,Central California District,Power generation/transmission/distribution
NIXON COMP,2000.0,-119.4243,39.8616,Carson City District Office,Natural
ROSSFORK,2000.0,-112.2572,43.0344,Idaho Falls District,Misuse of fire by a minor
3 SPGS 2,2000.0,-108.584,40.3002,"Northwest District, Craig",Natural
SPRAGUE #2,1966.0,-117.9011,47.3165,Spokane District,Railroad operations and maintenance
