name,acres,lon,lat,reporter,cause
BEAR SPRING,1005.0,-114.10805556,45.555,Salmon-Challis National Forest,Natural
MACON SE,1005.0,-85.873225,32.311846,Alabama Forestry Commission,Arson/incendiarism
DULBI SL 2,1003.1,-156.3625,65.3483,Alaska Fire Service,Natural
WHITEROCK III,1000.0,-80.35056002,25.94971997,Florida Forest Service,Equipment and vehicle use
FB-U1,1000.0,-75.94166667,38.35833333,Blackwater National Wildlife Refuge,Missing data/not specified/undetermined
THE NORTH FIRE,1000.0,-80.85888998,26.48610997,Florida Forest Service,Natural
DITCH 20,1000.0,-95.32183411,48.23234334,Minnesota Department of Natural Resources,Arson/incendiarism
CARTER  CO #1,1000.0,-97.425,34.283333,Oklahoma Division of Forestry,Missing data/not specified/undetermined
SAGE BRUSH,1000.0,-103.503889,40.273889,Fort Collins Interagency Dispatch Center,Natural
EAGAN,1000.0,-93.224,44.825,Minnesota Valley National Wildlife Refuge,Recreation and ceremony
HILL COUNTRY - 6,1000.0,-98.36666999,30.21666999,Texas A & M Forest Service,Debris and open burning
SAN ISIDRO,1000.0,-98.58527778,26.96277778,South Texas Refuge Complex,Debris and open burning
